fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,SANTANDER - ALCALDÍA MUNICIPIO DE OIBA,Santander,Oiba,591200526,613681035,15,2.0,3.802518436866208,750.0,Liquidado,MEJORAMIENTO DE ViAS URBANAS MEDIANTE LA CONSTRUCCIoN DE PAVIMENTO RIGIDO EN EL MUNICIPIO DE OIBA; DEPARTAMENTO DE SANTANDER,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37160,UNION TEMPORAL VIAS URBANAS OIBA 2023,2023-09-08T00:00:00.000,2023-11-08T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,590961344,806713848,122,345.0,36.50873380983782,35.36231884057971,Liquidado,PRESTAR LOS SERVICIOS: HOGARES COMUNITARIOS DE BIENESTAR FAMILIAR; Y FAMI  EN CONFORMIDAD CON LAS DIRECTRICES; LINEAMIENTOS Y PARaMETROS ESTABLECIDOS POR EL ICBF; EN ARMONIA CON LA POLITICA DE ESTADO PARA EL DESARROLLO INTEGRAL A LA PRIMERA INFANCIA DE CERO A SIEMPRE.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6614,ASOCIACION DE PADRES DE FAMILIA DE HOGARES COMUNITARIOS DE BIENESTAR DEL PROGRAMA SOCIAL EL TOTUMO,2018-12-19T00:00:00.000,2020-03-30T00:00:00.000,0,Inversión
SECOP I,NARIÑO - ALCALDÍA MUNICIPIO DE FRANCISCO PIZARRO,Nariño,Francisco Pizarro,590882441,590882441,0,15.0,0.0,0.0,Liquidado,CONSTRUCCIoN Y OPTIMIZACIoN DE LOS SISTEMAS DE ABASTECIMIENTO DE AGUA DE LOS SECTORES URBANO Y RURAL DEL EL MUNICIPIO DE FRANCISCO PIZARRO DEPARTAMENTO DE NARIÑO; EN EL MARCO DE LA URGENCIA MANIFIESTA DECRETADA EN ARAS DE SOLUCIONAR LA PROBLEMaTICA SUSCITADA POR LOS CAMBIOS CLIMaTICOS,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-12-13428733,"FONDO MIXTO PARA LA PROMOCION DE LAS ENERGIAS RENOVABLES, EL DESARROLLO INTEGRAL Y LA GESTION SOCIAL",2022-12-16T00:00:00.000,2022-12-31T00:00:00.000,0,Inversión
SECOP I,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE BUGALAGRANDE,Valle del Cauca,Bugalagrande,590668865,740644138,0,107.0,25.390753074482774,0.0,Liquidado,MANTENIMIENTO RUTINARIO DE LAS VIAS TERCIARIAS DEL MUNICIPIO DE BUGALAGRANDE  VALLE DEL CAUCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211098,CONSORCIO 2020,2020-09-15T00:00:00.000,2020-12-31T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,590177267,811054881,122,348.0,37.42563910039591,35.05747126436782,Liquidado,PRESTAR LOS SERVICIOS: HOGARES COMUNITARIOS DE BIENESTAR FAMILIAR; Y FAMI  EN CONFORMIDAD CON LAS DIRECTRICES; LINEAMIENTOS Y PARaMETROS ESTABLECIDOS POR EL ICBF; EN ARMONIA CON LA POLITICA DE ESTADO PARA EL DESARROLLO INTEGRAL A LA PRIMERA INFANCIA DE CERO A SIEMPRE.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6348,ASOCIACION DE HOGARES COMUNITARIOS LAS CAMPANITAS,2018-12-17T00:00:00.000,2020-03-31T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,590000000,0,0,,,,terminado,AUNAR ESFUERZOS PARA EL MEJORAMIENTO; MANTENIMIENTO Y REHABILITACIÓN DE CORREDORES RURALES PRODUCTIVOS - EN EL MUNICIPIO DE GRANADA DEPARTAMENTO DE CUNDINAMARCA - COLOMBIA RURAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2094543&isFromPublicArea=True&isModal=true&asPopupView=true,MUNICIPIO DE GRANADA CUNDINAMARCA,2021-08-31T00:00:00.000,2022-12-31T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,590000000,0,0,,,,terminado,AUNAR ESFUERZOS PARA EL MEJORAMIENTO; MANTENIMIENTO Y REHABILITACIÓN DE CORREDORES RURALES PRODUCTIVOS - EN EL MUNICIPIO DE SACAMA DEPARTAMENTO DE CASANARE - COLOMBIA RURAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1982317&isFromPublicArea=True&isModal=true&asPopupView=true,ALCALDIA MUNICIPAL DE SACAMA,2021-06-21T00:00:00.000,2022-12-31T00:00:00.000,0,Inversión
SECOP I,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,590000000,590000000,0,365.0,0.0,0.0,Liquidado,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS - INVIAS Y EL MUNICIPIO DE CURUMANI DEPARTAMENTO DE CESAR PARA EL MANTENIMIENTO Y MEJ0RAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-11508128,MUNICIPIO DE CURUMANI - CESAR,2021-04-08T00:00:00.000,2023-04-03T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,590000000,0,0,,,,terminado,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS - INVIAS Y EL MUNICIPIO DE NATAGA; DEPARTAMENTO DE HUILA PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1626428&isFromPublicArea=True&isModal=true&asPopupView=true,ALCALDÍA MUNICIPIO DE NATAGA HUILA,2020-12-31T00:00:00.000,2022-12-31T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,590000000,0,0,,,,terminado,"AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE
VIAS  INVIAS Y EL MUNICIPIO DE ROLDANILLO;
DEPARTAMENTO DE VALLE PARA EL MANTENIMIENTO Y
MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA
COLOMBIA RURAL",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1624527&isFromPublicArea=True&isModal=true&asPopupView=true,ALCALDÍA MUNICIPAL DE ROLDANILLO,2020-12-30T00:00:00.000,2022-12-31T00:00:00.000,0,Inversión
