fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE EL ZULIA,Norte De Santander,El Zulia,1493936606,1493936606,0,6.0,0.0,0.0,Liquidado,CONSTRUCCION CANCHA CUBIERTA MULTIFUNCIONAL EN EL BARRIO LA ALEJANDRA; MUNICIPIO DE EL ZULIA; NORTE DE SANTANDER.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26770,UNION TEMPORAL MULTI FUNCIONAL LA ALEJANDRA,2022-03-02T00:00:00.000,2022-09-02T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,1493306243,1521533902,10,251.0,1.890279313591539,3.98406374501992,Liquidado,PRESTAR EL SERVICIO CENTROS DE DESARROLLO INFANTIL -CDI-; DE CONFORMIDAD CON EL MANUAL OPERATIVO DE LA MODALIDAD INSTITUCIONAL Y LAS DIRECTRICES ESTABLECIDAS POR EL ICBF; EN ARMONIA CON LA POLiTICA DE ESTADO PARA EL DESARROLLO INTEGRAL DE LA PRIMERA INFANCIA DE CERO A SIEMPRE. 200,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4544,FUNDACION PERSEVERAR POR COLOMBIA,2019-01-21T00:00:00.000,2019-10-09T00:00:00.000,0,Inversión
SECOP I,CASANARE - ALCALDÍA MUNICIPIO DE RECETOR,Casanare,Recetor,1493169394,1493169394,0,3.0,0.0,0.0,Liquidado,CONSTRUCCIoN DE LAS REDES DE GAS NATURAL PARA LAS VEREDAS PIAGUTA; VEGoN Y AMPLIACIoN DE REDES DE GAS NATURAL PARA LAS VEREDAS MARACAGUA; COMOGo Y CASCO URBANO DEL MUNICIPIO DE RECETOR DEPARTAMENTO DE CASANARE,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23756,UNION TEMPORAL GAS RECETOR 2021,2021-09-24T00:00:00.000,2021-12-24T00:00:00.000,0,Inversión
SECOP I,CESAR - ALCALDÍA MUNICIPIO DE BECERRIL,Cesar,Becerril,1491945917,1491945917,0,4.0,0.0,0.0,Liquidado,CONSTRUCCIoN Y DOTACIoN DE PLACA POLIDEPORTIVA EN EL BARRIO ALTO PRADO; DEL MUNICIPIO DE BECERRIL  CESAR,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-188250,UNION TEMPORAL POLIDEPORTIVO ALTO PRADO,2018-04-24T00:00:00.000,2021-02-24T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - UNIDAD ADMINISTRATIVA ESPECIAL DE VIVIENDA SOCIAL,Bogotá D.C.,Bogotá D.C.,1490857046,1531448794,1,4.0,2.72271228880787,25.0,Liquidado,CONSTRUCCIoN DE TREINTA Y DOS (32) VIVIENDAS DE INTEReS PRIORITARIO URBANAS EN EL MUNICIPIO DE CAPARRAPi,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203411,CARLOS AUGUSTO RAMIREZ BASTIDAS,2019-09-06T00:00:00.000,2020-06-06T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,1490806849,1994055462,89,252.0,33.756795076274834,35.31746031746032,Liquidado,PRESTAR EL SERVICIO DE CENTROS DE DESARROLLO INFANTIL -CDI- Y  DESARROLLO INFANTIL EN MEDIO FAMILIAR -DIMF- DE CONFORMIDAD CON EL MANUAL OPERATIVO DE LA MODALIDAD INSTITUCIONAL Y  FAMILIAR Y LAS DIRECTRICES ESTABLECIDAS POR EL ICBF; EN ARMONIA CON LA POLiTICA DE ESTADO PARA EL DESARROLLO INTEGRAL DE LA PRIMERA INFANCIA DE CERO A SIEMPRE.369-318,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4134,ASOCIACION JUVENIL VISION FUTURA,2019-01-21T00:00:00.000,2019-12-28T00:00:00.000,0,Inversión
SECOP I,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE RIOFRÍO,Valle del Cauca,Riofrío,1490046808,1490046808,105,5.0,0.0,2100.0,Liquidado,CONSTRUCCIoN DE PAVIMENTOS EN ZONA URBANA Y RURAL DEL MUNICIPIO DE RIOFRIO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7172,CONSORCIO HD RIOFRIO,2019-01-31T00:00:00.000,2019-09-30T00:00:00.000,0,Inversión
SECOP I,TOLIMA - ALCALDÍA MUNICIPIO DE PLANADAS,Tolima,Planadas,1489833412,1489833412,0,6.0,0.0,0.0,Liquidado,CONSTRUCCIoN DE PUENTE VEHICULAR Y OBRAS COMPLEMENTARIAS EN LA ViA QUE COMUNICA LA VEREDA LOS ANDES EN EL MUNICIPIO DE PLANADAS; DEL DEPARTAMENTO DEL TOLIMA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-1-229444,JCC PROYECTOS INTEGRALES SAS,2023-06-30T00:00:00.000,2024-03-30T00:00:00.000,0,Inversión
SECOP I,SANTANDER - BANCO INMOBILIARIO DE FLORIDABLANCA,Santander,Floridablanca,1489795653,2180369292,117,6.0,46.353581285419416,1950.0,Liquidado,CONSTRUCCIoN DE ESCENARIO DEPORTIVO Y RECREATIVO EN EL BARRIO SAN BERNARDO DEL MUNICIPIO DE FLORIDABLANCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20829,CONSORCIO SAN BERNARDO 21,2021-03-10T00:00:00.000,2021-12-10T00:00:00.000,0,Inversión
SECOP I,HUILA - SOCIEDAD DE ACUEDUCTOS; ALCANTARILLADO Y ASEO AGUAS DEL HUILA S.A. E.S.P.,Huila,Neiva,1489565836,1489565836,0,10.0,0.0,0.0,Liquidado,LA CONSTRUCCIoN PLAN MAESTRO DE ALCANTARILLADO SANITARIO Y PLUVIAL FASE I DEL MUNICIPIO DE TIMANA; HUILA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18441,CONSORCIO TOBO,2020-10-15T00:00:00.000,2021-08-15T00:00:00.000,0,Inversión
SECOP I,TOLIMA - ALCALDÍA MUNICIPIO DE ORTEGA,Tolima,Ortega,1489358808,1489358808,0,6.0,0.0,0.0,Liquidado,ADECUACIoN DE INFRAESTRUCTURA PARA LOS POLIDEPORTIVOS UBICADOS EN LA INSTITUCIoN EDUCATIVA JHON F. KENNEDY; SEDE LA SAGRADA FAMILIA E INSTITUCIoN EDUCATIVA EL VERGEL SEDE PRINCIPAL DEL MUNICIPIO DE ORTEGA DEPARTAMENTO DEL TOLIMA.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22699,UNION TEMPORAL MEGACUBIERTAS DEPORTIVAS ORTEGA 2021,2021-09-30T00:00:00.000,2022-03-30T00:00:00.000,0,Inversión
SECOP I,CAM - CORPORACIÓN AUTÓNOMA REGIONAL DEL ALTO MAGDALENA,Magdalena,Santa Marta,1488279629,1488279629,0,4.0,0.0,0.0,Liquidado,REALIZAR LA CONSTRUCCION A TODO COSTO DE HORNILLAS DOMESTICAS ECOEFICIENTES QUE CONTRIBUYAN A LA MITIGACION FRENTE AL CAMBIO CLIMaTICO Y EL CONTROL DE LA DEFORESTACION; EN ZONA RURAL DEL DEPARTAMENTO DEL HUILA.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-204816,CONSORCIO HORNILLAS 2019,2019-11-11T00:00:00.000,2020-03-11T00:00:00.000,0,Inversión
SECOP I,TOLIMA - EMPRESA DE SERVICIOS PÚBLICOS DE ACUEDUCTO; ALCANTARILLADO Y ASEO DEL MUNICIPIO DE PURIFICACIÓN - PURIFICA E.S.P.,Tolima,Purificación,1487145900,1487145900,0,4.0,0.0,0.0,Liquidado,OPTIMIZACION DEL SISTEMA DE ACUEDUCTO INTERVEREDAL DE SANTA LUCIA DEL MUNICIPIO DE PURIFICACION,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-214854,CONSORCIO ACUEDUCTO SANTA LUCIA,2021-05-19T00:00:00.000,2021-11-19T00:00:00.000,0,Inversión
SECOP I,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Santander,Barrancabermeja,1487023665,1836481353,15,126.0,23.50047926103449,11.904761904761903,Liquidado,CONSTRUCCIoN DEL SISTEMA DE FLOCULACIoN DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE AGUAS DE BARRANCABERMEJA S.A. E.S.P.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8353523,LEONARDO RAFAEL COTE NAVARRO,2018-09-21T00:00:00.000,2019-02-09T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE JERUSALÉN,Cundinamarca,Jerusalén,1480670325,1480670325,0,6.0,0.0,0.0,Liquidado,CONSTRUCCION PLAZA DE MERCADO DEL MUNICIPIO DE JERUSALEN CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-35773,CONSORCIO PMJ,2023-05-02T00:00:00.000,2023-11-02T00:00:00.000,0,Inversión
SECOP I,META - ALCALDÍA MUNICIPIO DE VISTA HERMOSA,Meta,Vistahermosa,1480449300,1480449300,0,300.0,0.0,0.0,Liquidado,CONSTRUCCION ELECTRIFICACION RURAL DE LAS VEREDAS MARACAIBO Y LA BORRASCOSA EN EL MUNICIPIO DE VISTAHERMOSA-META,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19136,CONSORCIO ELECTRIFICAR MARACAIBO BORRASCOSA,2020-11-04T00:00:00.000,2021-08-31T00:00:00.000,0,Inversión
SECOP I,CASANARE - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE YOPAL,Casanare,Yopal,1479051480,1479051480,0,3.0,0.0,0.0,Liquidado,REHABILITACIoN Y  RECUPERACIoN LiNEA DE CONDUCCIoN PASO ELEVADO EL GRANDE DEL SISTEMA DE ACUEDUCTO URBANO DEL MUNICIPIO DE YOPAL CASANARE.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8060126,EDSON GUILLERMO PEREZ LOPEZ,2017-04-17T00:00:00.000,2017-07-17T00:00:00.000,0,Inversión
SECOP I,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Santander,Sabana de Torres,1477709946,1847423383,67,6.0,25.019350922065183,1116.6666666666663,Liquidado,CONSTRUCCIoN FASE I POLIDEPORTIVO CUBIERTO EN LA VILLA OLiMPICA DEL MUNICIPIO DE SABANA DE TORRES; DEPARTAMENTO DE SANTANDER,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191770,CONSORCIO POLIDEPORTIVO SABANA,2018-09-20T00:00:00.000,2019-07-20T00:00:00.000,0,Inversión
SECOP I,GUAVIARE - GOBERNACIÓN,Guaviare,San José del Guaviare,1476921910,2116236483,45,75.0,43.28695841474787,60.0,Liquidado,ADECUACIoN; AMPLIACIoN Y REMODELACIoN SEDE SECRETARIA DE CULTURA Y TURISMO DEL DEPARTAMENTO DEL GUAVIARE,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15296,CONSORCIO VIDA 2019,2019-12-30T00:00:00.000,2020-11-24T00:00:00.000,0,Inversión
SECOP I,BOYACÁ - ALCALDÍA MUNICIPIO DE GARAGOA,Boyacá,Garagoa,1476132702,1810199643,0,6.0,22.631226890873396,0.0,Liquidado,MEJORAMIENTO DE IA URBANAS EN EL MUNICIPIO DE GARAGOA DEPARTAMENTO DE BOYACA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25818,CONSORCIO URBANO GARAGOA,2022-01-31T00:00:00.000,2022-08-31T00:00:00.000,0,Inversión
SECOP I,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Santander,Bucaramanga,1475498399,1902401047,0,3.0,28.932776090392764,0.0,Liquidado,ADECUACION Y MEJORAMIENTO DE EQUIPAMIENTO URBANO MEDIANTE EL EJERCICIO DE PRESUPUESTOS PARTICIPATIVOS DEL MUNICIPIO DE BUCARAMANGA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12132,CONSORCIO EQUIPAMIENTO GEC,2019-10-15T00:00:00.000,2020-04-15T00:00:00.000,0,Inversión
