entidad,url,departamento,municipio,valor_inicial,valor_final,sobrecosto_pct,objeto,contratista,estado
BOYACÁ - ALCALDÍA MUNICIPIO DE TIBANÁ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22926,Boyacá,Tibaná,704211792,802805826,14.000622415024823,CONSTRUCCIoN DE CUBIERTA INSTITUCIoN EDUCATIVA GUSTAVO ROMERO HERNaNDEZ MUNICIPIO DE TIBANa BOYACa,CALING LTDA,Liquidado
NORTE DE SANTANDER - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9549393,Norte De Santander,San José de Cúcuta,703249267,1028745809,46.28466139588596,MANTENIMIENTO PREVENTIVO Y ATENCION A PUNTOS CRITICOS EN LOS CORREDORES VIALES EN LOS 40 MUNICIPIOS DEL DEPARTAMENTO NORTE DE SANTANDER,UNION TEMPORAL CORREDORES VIALES,Liquidado
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5122,Cundinamarca,Anapoima,702960479,783036988,11.391324461641606,MEJORAMIENTO DE ViAS TERCIARIAS MEDIANTE LA CONSTRUCCIoN DE PLACA HUELLA EN EL SECTOR EMPEDRADO DE SANTA ANA DE LA VEREDA SANTA ROSA DEL MUNICIPIO DE ANAPOIMA,M.V.C. CONSTRUCTORES S.A.S.,Liquidado
BOYACÁ - ALCALDÍA MUNICIPIO DE RAMIRIQUÍ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8759,Boyacá,Ramiriquí,702680630,771391154,9.778343256736706,MEJORAMIENTO DE LA RED VIAL TERCIARIA MEDIANTE EL USO DE PLACA HUELLA EN LAS VEREDAS GUACAMAYAS; EL COMuN Y PABELLoN; MUNICIPIO DE RAMIRIQUi - DEPARTAMENTO DE BOYACa,UNION TEMPORAL PROYECTAR2019,Liquidado
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6830,Bogotá D.C.,Bogotá D.C.,702458243,787063468,12.04416431056102,PRESTAR LOS SERVICIOS: HOGARES COMUNITARIOS DE BIENESTAR FAMILIAR; Y FAMI  EN CONFORMIDAD CON LAS DIRECTRICES; LINEAMIENTOS Y PARaMETROS ESTABLECIDOS POR EL ICBF; EN ARMONiA CON LA POLiTICA DE ESTADO PARA EL DESARROLLO INTEGRAL A LA PRIMERA INFANCIA DE CERO A SIEMPRE,ASOCIACION DE HCB VERSALLES,Liquidado
ANTIOQUIA - AGUAS DEL PÁRAMO S.A.S E.S.P - SONSÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11684942,Antioquia,Sonsón,702189672,838947298,19.47588115480001,AMPLIACIoN DE LA PLANTA DE COMPOSTAJE Y PLATAFORMA DE DISPOSICIoN FINAL DE LOS RESIDUOS SOLIDOS EN EL RELLENO SANITARIO AMBIENTE SONSoN; DE LA ZONA URBANA DEL MUNICIPIO A CARGO DE LA EMPRESA AGUAS DEL PaRAMO DE SONSoN S.A.S.E.S.P.,HECTOR ALONSO GIRALDO LONDONO,Liquidado
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE VILLETA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-187212,Cundinamarca,Villeta,701676543,1051676543,49.88053305923325,CONSTRUCCIoN CICLO RUTA Y MALECoN; SOBRE LAS RIVERAS DEL RIO VILLETA Y QUEBRADA CUNE; EJE AMBIENTAL; SOBRE LAS VIAS CALLE 1ª; DIAGONAL 1ª; Y CALLE 5ª; TRAMO 1; ENTRE EL CDA Y EL PUENTE PUERTO LETICIA (CARRERA 5ª); BARRIO ALFONSO LOPEZ DEL MUNICIPIO DE VILLETA; CUNDINAMARCA.,UNION TEMPORAL CICLO VILLETA,Liquidado
VALLE DEL CAUCA - UNIDAD CENTRAL DEL VALLE DEL CAUCA - TULUÁ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6347,Valle del Cauca,Tuluá,701480799,1003370664,43.03608387148456,MANTENIMIENTO Y ADECUACIoN DE LA SEDE CENTRO Y CUBIERTAS EDIFICACIONES CIUDADELA UNIVERSITARIA -CENTRO CULTURAL Y CAU,CONSORCIO UCEVA BUGA - TULUA,Liquidado
BOYACÁ - ALCALDÍA MUNICIPIO DE PAYA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212168,Boyacá,Paya,700934007,964178501,37.55624514876762,REALIZAR OBRAS DE MEJORAMIENTO DE VIVIENDA RURAL; Y DE SANEAMIENTO BaSICO RURAL; A BENEFICIARIOS DE LA POBLACIoN PRIORIZADA; DEL MUNICIPIO DE PAYA - BOYACa,SERVICIOS ESPECIALIZADOS PROFESIONALES INTEGRALES LIMITADA  SEPI LTDA.,Liquidado
NORTE DE SANTANDER - EICE FARO DEL CATATUMBO S.A.S - SAN JOSÉ DE CÚCUTA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-4-12947058,Norte De Santander,San José de Cúcuta,700601842,761346147,8.670303353270373,CONSTRUCCION CUBIERTA METALICA MIRADOR CRISTO REY; MUNICIPIO DE PAMPLONA; DEPARTAMENTO NORTE DE SANTANDER; DE ACUERDO CON LAS CONDICIONES; ESPECIFICACIONES; CARACTERiSTICAS; GEORREFERENCIACIoN Y DEMaS ELEMENTOS TeCNICOS DESCRITOS EN EL PROYECTO CON CoDIGO BPIN 2021004540132; CONFORME AL CONTRATO INTERADMINISTRATIVO NO N° CI-PE-02531-  2021; CELEBRADO ENTRE EL DEPARTAMENTO DEL NORTE DE SANTANDER Y EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO FARO DEL CATATUMBO S.A.S,UNION TEMPORAL DEPORTIVO NORTE,Liquidado
