departamento,ciudad,valor_inicial,valor_final,dias_adicionados,destino_gasto,estado_contrato,objeto,url,contratista,fecha_inicio,fecha_fin
Distrito Capital de Bogotá,Bogotá,17868565875,16727794347,61,Inversión,Modificado,"CONTRATAR LA RESTAURACIÓN ECOLÓGICA EN ÁREAS DE IMPORTANCIA AMBIENTAL Y
DE LA ESTRUCTURA ECOLÓGICA PRINCIPAL DEL DISTRITO CAPITAL.",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3421361&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO BARZZILAI,2023-01-30,2024-07-29
Distrito Capital de Bogotá,Bogotá,17862489434,17852306717,15,Inversión,Modificado,MEJORAMIENTO; REHABILITACION; MANTENIMIENTO DE LA VIA SIBATE - FUSAGASUGA - PASCA; DEPARTAMENTO DE CUNDINAMARCA.  EN EL MARCO DEL PLAN 500,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4293241&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO PASCA CNJ,2023-08-01,2024-05-08
Meta,Villavicencio,17857004752,12409547706,0,Inversión,En ejecución,ADECUACIÓN Y MEJORAMIENTO DEL PARQUE RECREODEPORTIVO UBICADO EN EL BARRIO OLIMPICO DEL MUNICIPIO DE SAN MARTÍN META,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2910622&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO OLIMPICO SAN MARTIN,2022-09-16,2024-04-15
Tolima,Ibagué,17833434561,0,30,Inversión,Modificado,REALIZAR LAS OBRAS CIVILES PARA EL MEJORAMIENTO; ADECUACIÓN; MANTENIMIENTO Y CONSTRUCCIÓN DE COMPLEJO ACUÁTICO RECREO DEPORTIVO UBICADO EN EL PARQUE DEPORTIVO DEL MUNICIPIO DE IBAGUE.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5243627&isFromPublicArea=True&isModal=true&asPopupView=true,UNION TEMPORAL COMPLEJO ACUATICO IBAGUE,2024-06-13,2025-11-07
Antioquia,Medellín,17833095590,0,0,Inversión,enviado Proveedor,EJECUCIÓN DE MEJORAMIENTOS DE VIVIENDA EN EL MARCO DE LA CONVOCATORIA VIVA MI CASA MEJORADA PARA ELLAS; PARA IMPACTAR MUJERES VULNERABLES; EN POBREZA EXTREMA Y MODERADA EN LA ZONA RURAL DEL DEPARTAMENTO DE ANTIOQUIA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10061287&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIVA MI CASA 2026,,2027-12-31
Antioquia,Medellín,17833095590,0,0,Inversión,Cancelado,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10061287&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIVA MI CASA 2026,,2027-12-31
Valle del Cauca,Palmira,17810541325,0,0,Inversión,Modificado,"CONSTRUCCIÓN DEL BULEVAR BOSQUE LA CARBONERA EN EL BARRIO
HACIENDA LA CARBONERA DEL MUNICIPIO DE PALMIRA",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6207130&isFromPublicArea=True&isModal=true&asPopupView=true,CBC,2024-08-01,2024-12-31
No Definido,No Definido,17803538181,0,0,Inversión,enviado Proveedor,GRUPO 1: OPTIMIZACIÓN DE LAS CUBIERTAS DE LOS TANQUES DE ALMACENAMIENTO DE SUBA NUEVO Y SAN DIEGO  Y GRUPO 2: OPTIMIZACIÓN DE LA CUBIERTA DEL TANQUE DE ALMACENAMIENTO DE CASABLANCA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.297460&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO HTH,2017-12-27,2018-09-26
Distrito Capital de Bogotá,Bogotá,17796311885,0,0,Inversión,Modificado,CONTRATAR POR PRECIOS UNITARIOS Y A MONTO AGOTABLE EL MANTENIMIENTO Y REHABILITACIÓN DE LA INFRAESTRUCTURA VIAL Y PUENTES VEHICULARES DE LA LOCALIDAD DE ENGATIVÁ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3911010&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIAL MCM,2023-04-27,2024-05-26
Distrito Capital de Bogotá,Bogotá,17774730000,0,0,Inversión,Modificado,AUNAR ESFUERZOS PARA EL MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE MAGANGUE DEPARTAMENTO DE BOLIVAR DEL PROGRAMA COLOMBIA RURAL-NACIONAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2397550&isFromPublicArea=True&isModal=true&asPopupView=true,ALCALDÍA MUNICIPAL DE MAGANGUE,2022-04-19,2024-12-31
