id_contrato,sobrecosto,tfidf_desarrollo,interaccion_prob_x_impacto,tfidf_insumos,prob_std,tfidf_expedicion,tfidf_materiales,imp_promedio,tfidf_cualquier,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prob_promedio,prop_cate_bajo,valor_inicial,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,anio,ipc,trm
C-144,4.196638275135099,0.0,4.680000000000001,0.0706487282019607,0.7483314773547883,0.1970246750808038,0.1743344507331132,2.6,0.0845511879562597,0.1969440459839903,0.1875322197487416,0.5,1.8,0.3,4897734723,0.0746903997997616,0.0754947924002467,0.0512808695031531,0.0599210106418399,0.0888217062606806,0.7,0.0788806130600762,0.0,0.1976586732091294,0.0,0.1554411477634168,0.2,0.0,0.0,0.1,0.0,2018,3.18,2955.7
C-145,16.21608450713943,0.044175727208863,8.636195752539244,0.1054120352814422,1.1098484669427866,0.0,0.260117198697708,3.491228070175439,0.0420517728333089,0.2203890280698451,0.1165871008796453,0.4561403508771929,2.473684210526316,0.2982456140350877,4816491704,0.0371474819115899,0.0,0.0255046857077482,0.0894056531325077,0.0,0.9824561403508772,0.0784629926919646,0.0775945149896794,0.0,0.0784629926919646,0.0386545475746451,0.0175438596491228,0.0405927830322928,0.0,0.0,0.0675005133058522,2018,3.18,2955.7
C-146,18.560651468165933,0.0,8.32,0.0,0.8,0.0,0.0,3.2,0.0,0.2080605768587572,0.1981174989351961,0.7,2.6,0.3,4753396838,0.0,0.0,0.1083508489666351,0.1266065189004437,0.0,0.2,0.0,0.0,0.1392103608702854,0.0,0.0,0.4,0.0,0.0,0.0,0.1433802793372759,2022,13.12,4255.4
C-147,1.8140021378267663,0.0,8.561236623067776,0.0,0.814552538690877,0.0,0.0422438592440033,3.4482758620689653,0.0614640732439996,0.2505431470553158,0.1704070393459376,0.4827586206896552,2.4827586206896552,0.0689655172413793,4745075775,0.2714791072061034,0.0,0.0372783776945671,0.1306778583235222,0.0645685056736014,0.7931034482758621,0.0573418765111174,0.0567071805933539,0.1436870073750191,0.0,0.112997183389127,0.6206896551724138,0.1186631440897714,0.0689655172413793,0.1034482758620689,0.1973213595671381,2020,1.61,3693.4
C-148,40.4243167436883,0.2501597006272848,7.22265625,0.0994884327307982,0.4635124054434789,0.0,0.0818333262600314,2.6875,0.0,0.2773390968142817,0.198063933040611,0.1875,2.6875,0.0625,4742487328,0.0,0.0,0.0722143691158434,0.0,0.0,0.625,0.0,0.1098511663903244,0.0927818146374858,0.0,0.1094470952729024,0.5,0.2298700913960137,0.1875,0.3125,0.0,2021,5.62,3743.1
C-149,46.10561477773964,0.0727423122068738,11.238095238095235,0.0,0.7939681905015746,0.0,0.0951831226661599,4.0,0.0692448858584805,0.2016140800961258,0.3071665216107166,0.4285714285714285,2.8095238095238093,0.0,4732857832,0.0,0.0618279696480331,0.0419974933682357,0.0490735097011942,0.0,0.9523809523809524,0.0,0.0,0.1618765223308914,0.0,0.0,0.0,0.0668424287102288,0.0476190476190476,0.0,0.0,2019,3.8,3281.1
C-150,8.563765847849018,0.0285714079056463,5.2704,0.0909027181058294,0.7310266752998826,0.0633772148295582,0.1121568344855709,2.44,0.0271977040490007,0.1583781968757305,0.0603237628667857,0.4,2.16,0.44,4670567985,0.288309239147252,0.0485690401418102,0.0164955921476077,0.173473910637091,0.0,0.6,0.0761209258344736,0.1003711621329518,0.0423874359552945,0.0253736419448245,0.0250004904490133,0.16,0.0,0.16,0.08,0.0218285563289502,2020,1.61,3693.4
C-151,24.224216104371752,0.4686114364914455,8.399999999999999,0.1863666180418228,0.0,0.0,0.1532942055631955,2.8,0.0,0.1298813040504629,0.0,0.6,3.0,0.0,4664009746,0.0,0.0,0.1352755026562737,0.3161352337736171,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,2018,3.18,2955.7
C-152,24.224216104371752,0.2248685667780661,5.944598337950139,0.0,1.190916684103659,0.0,0.1471199617255064,3.0526315789473686,0.0,0.2493001273017543,0.2373862384260266,0.4736842105263157,1.947368421052632,0.3684210526315789,4664009746,0.0,0.0,0.0649134998288801,0.1517011139526891,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.3099453541142838,0.1052631578947368,0.4736842105263157,0.0858997952207194,2018,3.18,2955.7
C-153,19.98196504570716,0.066864594902478,6.057613168724279,0.053184055907858,1.093690597054326,0.0,0.2624764354695996,2.555555555555556,0.0636497672610153,0.1482586228925435,0.282346881917826,0.8518518518518519,2.3703703703703702,0.5555555555555556,4568822225,0.1124532174839786,0.0,0.0386040159542967,0.0451082766970818,0.1337291898049561,1.0,0.059380983094849,0.0,0.1487965911654674,0.059380983094849,0.1755231319111364,0.1111111111111111,0.0,0.1111111111111111,0.1851851851851851,0.0,2018,3.18,2955.7
C-154,8.760748940575024,0.0,5.2,0.0706487282019607,1.0,0.1970246750808038,0.1743344507331132,2.6,0.0845511879562597,0.1969440459839903,0.1875322197487416,0.5,2.0,0.3,4560645736,0.0746903997997616,0.0754947924002467,0.0512808695031531,0.0599210106418399,0.0888217062606806,0.7,0.0788806130600762,0.0,0.1976586732091294,0.0,0.1554411477634168,0.2,0.0,0.0,0.1,0.0,2018,3.18,2955.7
C-155,34.21019548396663,0.0,6.48375,0.0971092138078633,0.8656644846590392,0.0,0.1198144813160872,2.85,0.0581093219787457,0.270706663182568,0.2577697700570687,0.575,2.275,0.25,4517846426,0.0,0.0518851515318031,0.0352436982771943,0.0411817904022807,0.0610443123575456,0.825,0.0,0.1072241275818074,0.090562981321586,0.0542121175702473,0.0534148598172443,0.225,0.0,0.075,0.2,0.0466378561133274,2020,1.61,3693.4
C-156,8.777013708184295,0.0,5.3125,0.0508754989595524,0.5994789404140899,0.1418812327863164,0.0418471895749355,2.5,0.0,0.0354557925583098,0.1012841507574888,0.375,2.125,0.25,4512253896,0.322715903372415,0.0,0.0738566677547127,0.0,0.0,0.625,0.0,0.0,0.0474459289837977,0.0,0.0,0.0,0.0,0.0,0.125,0.1466013845934699,2019,3.8,3281.1
C-157,38.85862812762607,0.0,3.757575757575758,0.0,0.7453559924999298,0.0,0.1696039547028984,2.8181818181818183,0.0,0.1437000356797367,0.273665411252748,0.5833333333333334,1.3333333333333333,0.9166666666666666,4491856777,0.0,0.0,0.1496681504733595,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.2382090423942745,0.1666666666666666,0.0,0.0,2019,3.8,3281.1
C-158,1.0186412688885262,0.0,7.039999999999999,0.1364986509377955,0.7118052168020874,0.0,0.1122757523628057,2.933333333333333,0.0,0.0951276734600148,0.4529079230184047,0.4666666666666667,2.4,0.4666666666666667,4454623368,0.0,0.0,0.0990784927661765,0.0,0.1716102099377859,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.2,0.0666666666666666,0.0,2023,9.28,4325.1
