id_contrato,sobrecosto,prop_tipo_Riesgos Legales y Regulatorios,prop_asig_EDU y Contratista,valor_inicial,tfidf_demoras,tfidf_ejecución,imp_promedio,tfidf_departamento,tfidf_construccion,tfidf_municipio,prop_tipo_Regulatorio,tfidf_desarrollo,tfidf_ley,suma_impacto,val_std,tfidf_ejecución contrato,tfidf_obras,tfidf_servicios,tfidf_contrato,prop_tipo_Cumplimiento,prop_tipo_Operacional,tfidf_cambio,tfidf_incumplimiento,tfidf_riesgo,tfidf_actividades,tfidf_contratista,tfidf_precios,imp_std,tfidf_calidad,val_promedio,tfidf_obra,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,pct_riesgos_con_mitigacion,avg_longitud_mitigacion,n_distinct_codes_mitigacion
C-040,11.288570785750418,0.0,0.0,14173627737.0,0.2345447191063964,0.21193840697735628,3.24,0.07710605272995151,0.0,0.0,0.04,0.0,0.0,81.0,0.8,0.10691602461354736,0.15163983238450712,0.11931620095142162,0.15123236595916553,0.0,0.48,0.06602290810179534,0.05758036055644665,0.23319650564586844,0.058910049204136256,0.24808383114573798,0.05314488519392987,0.9068627239003708,0.0,6.0,0.3036838886668207,2018,2020,2,8.83,3310.33,1.0,181.8,0
C-041,52.62635326028726,0.0,0.0,14099924774.0,0.0,0.0,3.769230769230769,0.0,0.09907828661230436,0.0,0.07692307692307693,0.0,0.13304855247852532,49.0,1.4225570776082255,0.0,0.08626005700818194,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.09949007240450143,0.0,0.21168308894437218,0.0,1.049090899768143,0.0,5.769230769230769,0.07403573832135922,2018,2023,5,42.09,3709.1,1.0,133.69230769230768,0
C-042,38.42814033069913,0.0,0.0,13647641007.0,0.08666962984083185,0.09397929751784602,2.8636363636363638,0.0,0.06436108030959269,0.04424818980839917,0.0,0.0,0.08642810512714279,63.0,1.1957224034514462,0.11852373797986793,0.0,0.06613509148621886,0.33530287684767507,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.229181602306114,0.058914746133362755,1.0572457590557278,0.0,5.454545454545454,0.04809348508948912,2021,2022,1,19.48,3999.26,1.0,141.0,0
C-043,2.2014503546497943,0.0,0.0,13586470318.0,0.0,0.3390622182929199,2.590909090909091,0.0,0.0,0.09122306591912997,0.045454545454545456,0.23557463687066066,0.0,57.0,1.1544022817454813,0.061087802741406357,0.05776087168677447,0.0,0.17281699302274794,0.0,0.5909090909090909,0.1508920445224046,0.0,0.0,0.3365899057953589,0.14174578782873043,0.06072998458698977,1.0295228775369203,0.06817279798720541,5.409090909090909,0.14872592007480423,2021,2022,1,19.48,3999.26,1.0,172.63636363636363,0
C-044,22.5977428826741,0.0,0.0,13509464949.0,0.0,0.0,3.6,0.0,0.1297991189915292,0.089236787612531,0.0,0.0,0.17430241766682053,36.0,1.3601470508735443,0.0,0.11300638905508313,0.0,0.0,0.0,1.0,0.0,0.0,0.1303385856584242,0.0,0.27731886965203933,0.0,1.1135528725660044,0.0,5.5,0.0,2022,2023,1,23.62,4290.24,1.0,141.5,0
C-101,49.99998005310148,0.0,0.0,13139887374.0,0.1016472077816771,0.055110037965525355,2.75,0.10024887782074887,0.0,0.05189482119258429,0.0,0.08934219676960918,0.0,33.0,0.6871842709362768,0.0,0.1971534333720114,0.07756404865586294,0.19662366884064328,0.0,0.23809523809523808,0.0,0.07486269009923831,0.2273915650104075,0.0,0.3763018024766163,0.06909593882679035,0.7216878364870323,0.1551280973117259,4.833333333333333,0.3948324155266242,2020,2021,1,7.32,3718.23,1.0,110.0952380952381,0
C-045,16.709103454027463,0.0,0.0,12962390280.0,0.0,0.08462646976409603,2.8,0.0,0.11591172014815329,0.07968921232307374,0.05,0.0,0.1556535453762328,56.0,1.268857754044952,0.0,0.10091566911144416,0.0,0.07548337644249756,0.0,0.0,0.0,0.229916923087777,0.0,0.23522633622078165,0.0,0.10610309108487767,0.8717797887081348,0.23821328602467737,5.3,0.34645773861016943,2020,2021,1,7.32,3718.23,1.0,40.6,1
C-046,14.91232028329329,0.0,0.0,12653870036.0,0.0,0.08027475822583638,2.588235294117647,0.0,0.02748781006809024,0.0,0.17647058823529413,0.0,0.0,44.0,1.3669352986614414,0.0,0.1914526497844446,0.056490935977592846,0.07160182636570378,0.0,0.5294117647058824,0.031258922467297834,0.0,0.0,0.0,0.03915223501524797,0.02516174905911672,0.9112901991076275,0.0,4.882352941176471,0.061620372620844834,2020,2021,1,7.32,3718.23,1.0,230.11764705882354,0
C-047,13.004843935626512,0.0,0.0,12487629825.0,0.1872646846682494,0.20305848250815736,2.1904761904761907,0.0,0.06953160773397893,0.0,0.047619047619047616,0.0,0.0,46.0,0.4994327848429292,0.19206823479513851,0.06053597263417664,0.0,0.36223985043290724,0.0,0.2857142857142857,0.07907080010372103,0.06895977942139707,0.06982059262817185,0.07055225009990074,0.44566774439665696,0.0,0.4994327848429292,0.0,4.190476190476191,0.0,2019,2020,1,5.47,3487.23,0.0,0.0,0
C-048,26.100222755739388,0.0,0.0,12319627802.0,0.0,0.19575323709097747,2.7777777777777777,0.0,0.0,0.0,0.1111111111111111,0.0,0.12001637098897437,25.0,1.247219128924647,0.2468778336768924,0.07781083529709956,0.09183695122695791,0.23280525705279512,0.0,0.1111111111111111,0.10163485834878587,0.0,0.08974496315054467,0.0,0.19094860982377385,0.0,1.0304020550550783,0.0,4.666666666666667,0.0,2020,2021,1,7.32,3718.23,1.0,173.66666666666666,0
