id_contrato,valor_inicial,n_riesgos,prob_promedio,prob_std,imp_promedio,imp_std,val_promedio,val_std,interaccion_prob_x_impacto,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,sobrecosto,tfidf_desarrollo,tfidf_insumos,tfidf_expedicion,tfidf_materiales,tfidf_obra,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prop_cate_bajo,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,svr_pred,abs_error,rmse_heuristic,bucket
C-023,20365882350,24,2.4583333333333335,0.931532942621143,3.4166666666666665,1.348643978116591,6.291666666666667,2.3678859892256243,8.399305555555555,2021,2023,2,30.56,4107.86,17.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,9.190000000000001,20.0,21-30
C-024,20271106341,18,1.6666666666666667,0.8401680504168059,3.7222222222222223,0.8947924869885989,5.388888888888889,1.4608172124206968,6.203703703703704,2019,2021,2,11.4,3572.51,19.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84,0.28000000000000114,16.0,11-20
C-025,19898010001,18,1.6666666666666667,0.6859943405700353,3.8333333333333335,0.9235481451827989,6.444444444444445,3.1477764742792878,6.388888888888889,2019,2020,1,5.47,3487.23,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.99,53.010000000000005,16.0,11-20
C-026,19387028406,22,2.8181818181818183,0.5884898863364999,2.1818181818181817,0.7326639999321221,5.590909090909091,2.0391195791342542,6.148760330578512,2022,2024,2,30.05,4217.26,44.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66,17.56,20.0,21-30
C-027,19382081781,6,2.0,0.0,2.0,0.0,4.0,0.0,4.0,2020,2021,1,7.32,3718.23,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,17.0,12.0,1-10
C-028,16978453631,20,2.85,0.8750939799154206,2.85,0.8750939799154203,5.7,1.3018205875255096,8.1225,2019,2021,2,11.4,3572.51,2.865528154529257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.18,21.31447184547074,16.0,11-20
C-029,16932183053,11,2.0,0.8944271909999159,3.909090909090909,1.0444659357341872,5.909090909090909,1.5782614139961386,7.818181818181818,2019,2021,2,11.4,3572.51,55.70430296245156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14,34.564302962451556,16.0,11-20
C-030,16930449221,17,2.2941176470588234,0.5878675320972554,2.764705882352941,0.5622957145383871,6.0588235294117645,2.384077081264732,6.342560553633217,2018,2019,1,7.1,3118.82,16.284867383082652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59,2.305132616917348,16.0,11-20
C-031,16670736929,26,2.3846153846153846,0.637302005452553,2.8461538461538463,0.4640954808922571,6.5,2.485960578931211,6.78698224852071,2018,2019,1,7.1,3118.82,29.38667704891836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.09,10.296677048918362,20.0,21-30
C-051,16670736929,21,1.9523809523809523,0.7400128699009549,2.142857142857143,0.9636241116594315,4.238095238095238,1.6402671094904606,4.183673469387755,2018,2019,1,7.1,3118.82,29.38667704891836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,11.186677048918362,20.0,21-30
