id_contrato,anio,ipc,constancia,fecha_ini_ejec_contrato,fecha_fin_ejec_contrato
C-180,2018,3.18,18-21-4027,2018-09-18T00:00:00.000,2019-09-18T00:00:00.000
C-181,2019,3.8,18-1-195659,2019-02-18T00:00:00.000,2019-09-06T00:00:00.000
C-182,2019,3.8,19-1-202301,2019-07-24T00:00:00.000,2020-04-24T00:00:00.000
C-183,2019,3.8,19-1-204039,2019-09-02T00:00:00.000,2020-03-02T00:00:00.000
C-184,2020,1.61,19-1-207981,2020-05-21T00:00:00.000,2021-03-21T00:00:00.000
C-185,2020,1.61,19-1-207397,2020-03-12T00:00:00.000,2020-10-12T00:00:00.000
C-186,2020,1.61,19-1-207185,2020-02-25T00:00:00.000,2021-01-25T00:00:00.000
C-187,2019,3.8,18-1-196582,2019-01-14T00:00:00.000,2020-05-14T00:00:00.000
C-188,2018,3.18,18-21-4764,2018-12-07T00:00:00.000,2019-09-07T00:00:00.000
C-189,2023,9.28,22-1-227353,2023-03-31T00:00:00.000,2023-10-31T00:00:00.000
C-190,2019,3.8,19-21-10704,2019-07-26T00:00:00.000,2020-04-26T00:00:00.000
C-191,2019,3.8,19-1-201466,2019-07-16T00:00:00.000,2021-03-16T00:00:00.000
C-192,2018,3.18,18-1-187488,2018-11-22T00:00:00.000,2019-07-22T00:00:00.000
C-193,2022,13.12,21-21-26890,2022-04-07T00:00:00.000,2022-11-07T00:00:00.000
C-194,2018,3.18,18-21-4126,2018-11-19T00:00:00.000,2019-09-19T00:00:00.000
C-195,2019,3.8,19-1-204264,2019-11-25T00:00:00.000,2020-10-25T00:00:00.000
C-196,2022,13.12,22-21-30989,2022-08-01T00:00:00.000,2023-03-01T00:00:00.000
C-197,2021,5.62,21-1-215734,2021-10-28T00:00:00.000,2022-04-28T00:00:00.000
C-198,2019,3.8,19-1-202962,2019-08-29T00:00:00.000,2021-02-28T00:00:00.000
C-199,2020,1.61,19-21-14355,2020-02-17T00:00:00.000,2020-06-17T00:00:00.000
C-200,2019,3.8,19-1-203230,2019-12-09T00:00:00.000,2020-08-09T00:00:00.000
C-201,2019,3.8,18-21-6506,2019-02-19T00:00:00.000,2019-08-19T00:00:00.000
C-202,2020,1.61,19-1-207173,2020-01-23T00:00:00.000,2021-04-23T00:00:00.000
C-204,2019,3.8,19-21-15307,2019-12-27T00:00:00.000,2020-05-27T00:00:00.000
C-205,2022,13.12,21-4-12621786,2022-03-29T00:00:00.000,2022-10-29T00:00:00.000
C-206,2018,3.18,18-1-192972,2018-09-24T00:00:00.000,2019-06-16T00:00:00.000
C-206,2018,3.18,18-1-192972,2018-09-25T00:00:00.000,2019-04-15T00:00:00.000
C-207,2018,3.18,18-21-2046,2018-08-10T00:00:00.000,2019-08-10T00:00:00.000
C-208,2018,3.18,18-21-3511,2018-07-24T00:00:00.000,2019-01-24T00:00:00.000
C-209,2021,5.62,21-21-22769,2021-10-21T00:00:00.000,2022-05-21T00:00:00.000
C-210,2021,5.62,20-21-19756,2021-01-12T00:00:00.000,2021-06-12T00:00:00.000
C-351,2021,5.62,21-21-21621,2021-05-11T00:00:00.000,2022-07-11T00:00:00.000
C-212,2019,3.8,19-1-199373,2019-07-08T00:00:00.000,2023-03-08T00:00:00.000
C-213,2021,5.62,21-21-22891,2021-09-14T00:00:00.000,2022-06-14T00:00:00.000
C-214,2019,3.8,19-12-9504234,2019-06-12T00:00:00.000,2020-12-12T00:00:00.000
C-215,2018,3.18,18-1-187486,2018-09-20T00:00:00.000,2019-07-20T00:00:00.000
C-216,2019,3.8,19-21-8240,2019-04-22T00:00:00.000,2019-11-22T00:00:00.000
C-217,2018,3.18,18-1-187503,2018-09-27T00:00:00.000,2019-11-27T00:00:00.000
C-218,2022,13.12,22-4-13125195,2022-08-10T00:00:00.000,2022-12-28T00:00:00.000
C-219,2019,3.8,19-21-10323,2019-07-22T00:00:00.000,2020-05-22T00:00:00.000
C-220,2019,3.8,18-4-8794141,2019-03-13T00:00:00.000,2019-12-08T00:00:00.000
C-221,2019,3.8,18-11-8799287,2019-02-04T00:00:00.000,2020-08-04T00:00:00.000
C-222,2018,3.18,18-21-1109,2018-09-28T00:00:00.000,2019-06-28T00:00:00.000
C-223,2020,1.61,19-1-207129,2020-02-03T00:00:00.000,2020-10-03T00:00:00.000
C-224,2019,3.8,19-11-9857084,2019-10-16T00:00:00.000,2020-06-16T00:00:00.000
C-224,2019,3.8,19-11-9857084,2019-10-16T00:00:00.000,2020-06-16T00:00:00.000
C-224,2019,3.8,19-11-9857084,2019-10-16T00:00:00.000,2020-06-16T00:00:00.000
C-224,2019,3.8,19-11-9857084,2019-10-16T00:00:00.000,2020-06-16T00:00:00.000
C-225,2023,9.28,22-21-35000,2023-03-21T00:00:00.000,2023-12-21T00:00:00.000
C-226,2018,3.18,18-1-191552,2018-07-16T00:00:00.000,2019-03-28T00:00:00.000
C-227,2019,3.8,19-21-8026,2019-03-29T00:00:00.000,2020-10-29T00:00:00.000
C-228,2021,5.62,21-12-12364970,2021-09-21T00:00:00.000,2022-01-21T00:00:00.000
C-229,2018,3.18,18-1-190958,2018-06-13T00:00:00.000,2019-04-13T00:00:00.000
C-230,2019,3.8,19-4-9441928,2019-07-24T00:00:00.000,2020-09-13T00:00:00.000
C-231,2021,5.62,21-21-25175,2021-11-05T00:00:00.000,2022-11-05T00:00:00.000
C-232,2020,1.61,20-21-19055,2020-11-06T00:00:00.000,2021-08-06T00:00:00.000
C-233,2022,13.12,22-21-29830,2022-08-04T00:00:00.000,2023-07-04T00:00:00.000
C-234,2019,3.8,19-21-9502,2019-07-22T00:00:00.000,2020-03-22T00:00:00.000
C-235,2021,5.62,20-21-19991,2021-01-26T00:00:00.000,2021-07-26T00:00:00.000
C-237,2022,13.12,22-21-32195,2022-09-26T00:00:00.000,2023-06-26T00:00:00.000
C-238,2019,3.8,19-21-9462,2019-05-20T00:00:00.000,2020-02-20T00:00:00.000
C-239,2022,13.12,22-21-33505,2022-11-29T00:00:00.000,2023-07-29T00:00:00.000
C-241,2018,3.18,18-1-191294,2018-08-30T00:00:00.000,2019-03-30T00:00:00.000
C-242,2022,13.12,21-1-221484,2022-05-10T00:00:00.000,2022-10-10T00:00:00.000
C-242,2022,13.12,21-1-221484,2022-05-10T00:00:00.000,2022-10-10T00:00:00.000
C-242,2022,13.12,21-1-221484,2022-05-10T00:00:00.000,2022-10-10T00:00:00.000
C-243,2018,3.18,18-1-195232,2018-12-03T00:00:00.000,2019-05-13T00:00:00.000
C-244,2018,3.18,18-1-193065,2018-11-24T00:00:00.000,2019-08-24T00:00:00.000
C-245,2019,3.8,18-1-196963,2019-02-14T00:00:00.000,2020-03-10T00:00:00.000
C-246,2023,9.28,23-21-37301,2023-07-19T00:00:00.000,2024-02-19T00:00:00.000
C-246,2023,9.28,23-21-37301,2023-07-19T00:00:00.000,2024-02-19T00:00:00.000
C-247,2018,3.18,18-21-386,2018-04-20T00:00:00.000,2019-04-20T00:00:00.000
C-248,2020,1.61,19-1-206971,2020-02-03T00:00:00.000,2020-09-03T00:00:00.000
C-249,2018,3.18,18-1-195494,2018-11-30T00:00:00.000,2019-08-30T00:00:00.000
C-249,2018,3.18,18-1-195494,2018-11-30T00:00:00.000,2019-08-30T00:00:00.000
C-249,2018,3.18,18-1-195494,2018-11-30T00:00:00.000,2019-08-30T00:00:00.000
