feature,importance,cumsum,pct
anio,0.0018024168221419765,0.9549633229593687,0.18024168221419765
tfidf_cambio,0.0017938358463669554,0.9567571588057356,0.17938358463669554
n_categoria_alto_extremo,0.0017501194711957936,0.9585072782769314,0.17501194711957935
tfidf_modificacion,0.0016892938857574296,0.9601965721626888,0.16892938857574297
tfidf_mayores,0.001660081390828785,0.9618566535535176,0.1660081390828785
tfidf_paros,0.0016338950798126103,0.9634905486333302,0.16338950798126103
tfidf_obligaciones,0.0016102454564425389,0.9651007940897727,0.1610245456442539
prop_etap_seleccion,0.0015530582984620035,0.9666538523882346,0.15530582984620037
tfidf_variacion,0.0015048475539362553,0.9681586999421709,0.15048475539362552
tfidf_etc,0.0014996863095804564,0.9696583862517513,0.14996863095804563
trm,0.0014874872001694234,0.9711458734519207,0.14874872001694234
tfidf_cantidades obra,0.0014751166727128271,0.9726209901246335,0.1475116672712827
tfidf_ocurre,0.0014165077098127663,0.9740374978344463,0.14165077098127662
tfidf_mercado,0.0014011752061001085,0.9754386730405463,0.14011752061001084
imp_rango,0.0013834870780899226,0.9768221601186362,0.13834870780899228
val_p75,0.0013628377026201168,0.9781849978212563,0.1362837702620117
tfidf_elaboracion,0.001360667434091786,0.9795456652553481,0.1360667434091786
tfidf_parte contratista,0.001250452591047968,0.9807961178463961,0.1250452591047968
val_rango,0.001234585563215371,0.9820307034096114,0.12345855632153709
tfidf_dano,0.001230237215101774,0.9832609406247131,0.1230237215101774
prob_p25,0.00118245830106674,0.9844433989257799,0.118245830106674
tfidf_inadecuada,0.0011303457708521738,0.9855737446966321,0.11303457708521739
val_min,0.0010504890972041732,0.9866242337938362,0.10504890972041732
imp_max,0.0007556582397071472,0.9873798920335434,0.07556582397071472
tfidf_cumplimiento,0.0007501087885666415,0.98813000082211,0.07501087885666416
tfidf_tasas,0.0007394665082499428,0.98886946733036,0.07394665082499428
prob_min,0.0007307164511989502,0.9896001837815589,0.07307164511989503
prob_max,0.0007242466862163052,0.9903244304677752,0.07242466862163052
tfidf_causas,0.0006763440713707482,0.9910007745391459,0.06763440713707482
tfidf_refiere,0.000650528766897634,0.9916513033060436,0.0650528766897634
tfidf_orden,0.0006500820500916221,0.9923013853561352,0.06500820500916221
prop_plan_mitigacion,0.0006471605380058814,0.992948545894141,0.06471605380058815
prob_rango,0.000603143406300645,0.9935516893004417,0.0603143406300645
