fila,url,entidad,municipio,departamento,tipo,pass,body_len,timestamp
607,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11512,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Yumbo,Valle del Cauca,ESTUDIOS_PREVIOS,1,8459,2026-07-19T18:02:33.883718
608,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9790569,VALLE DEL CAUCA - E.S.E. RED DE SALUD DEL CENTRO - CALI,Cali,Valle del Cauca,ESTUDIOS_PREVIOS,1,5156,2026-07-19T18:02:37.411971
609,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3976,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4880,2026-07-19T18:02:41.089112
610,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5975,META - ALCALDÍA MUNICIPIO DE PUERTO GAITÁN,Puerto Gaitán,Meta,ESTUDIOS_PREVIOS,1,27766,2026-07-19T18:02:44.846844
627,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13808,META - ALCALDÍA MUNICIPIO DE ACACIAS,Acacías,Meta,MATRIZ_RIESGO,1,11131,2026-07-19T18:03:27.527752
628,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17812,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS,1,11425,2026-07-19T18:03:31.264352
629,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8697,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PASCA,Pasca,Cundinamarca,ESTUDIOS_PREVIOS,1,7184,2026-07-19T18:03:35.145235
630,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9903,ANTIOQUIA - ALCALDÍA MUNICIPIO DE BARBOSA,Barbosa,Antioquia,MATRIZ_RIESGO,1,10695,2026-07-19T18:03:38.929751
647,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-35659,BOYACÁ - ALCALDÍA MUNICIPIO DE PAUNA,Pauna,Boyacá,MATRIZ,1,11073,2026-07-19T18:04:21.706377
648,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-185428,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GIRARDOTA,Girardota,Antioquia,ESTUDIOS_PREVIOS,1,7789,2026-07-19T18:04:25.537569
649,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193670,ANTIOQUIA - ALCALDÍA MUNICIPIO DE REMEDIOS,Remedios,Antioquia,ESTUDIOS_PREVIOS,1,10532,2026-07-19T18:04:29.652519
650,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11005604,SANTANDER - ALCALDÍA MUNICIPIO DE PIEDECUESTA,Piedecuesta,Santander,ESTUDIOS_PREVIOS,1,12080,2026-07-19T18:04:33.519343
651,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8407,CAUCA - ALCALDÍA MUNICIPIO DE MORALES,Morales,Cauca,ESTUDIOS_PREVIOS,1,7120,2026-07-19T18:04:36.746188
652,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11886064,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,MATRIZ_RIESGO,1,6891,2026-07-19T18:04:40.101478
653,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10668,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO,1,22834,2026-07-19T18:04:43.286114
654,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2611,VALLE DEL CAUCA - VALLECAUCANA DE AGUAS S.A E.S.P,Cali,Valle del Cauca,MATRIZ_RIESGO,1,7846,2026-07-19T18:04:46.516323
671,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203411,CUNDINAMARCA - UNIDAD ADMINISTRATIVA ESPECIAL DE VIVIENDA SOCIAL,Bogotá D.C.,Bogotá D.C.,ESTUDIOS_PREVIOS,1,28332,2026-07-19T18:05:28.183942
672,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4134,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4786,2026-07-19T18:05:31.423268
673,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20829,SANTANDER - BANCO INMOBILIARIO DE FLORIDABLANCA,Floridablanca,Santander,ESTUDIOS_PREVIOS,1,11467,2026-07-19T18:05:34.828248
674,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8353523,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,MATRIZ_RIESGO,1,17748,2026-07-19T18:05:38.056939
675,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191770,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,ESTUDIOS_PREVIOS,1,13035,2026-07-19T18:05:41.963827
676,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15296,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS,1,7681,2026-07-19T18:05:45.687500
690,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7760,ANTIOQUIA - ALCALDÍA MUNICIPIO DE REMEDIOS,Remedios,Antioquia,ESTUDIOS_PREVIOS,1,9804,2026-07-19T18:06:19.867950
691,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8490713,HUILA - GOBERNACIÓN,Neiva,Huila,ESTUDIOS_PREVIOS,1,7154,2026-07-19T18:06:23.050562
692,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8360540,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,5318,2026-07-19T18:06:26.337442
693,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8359887,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4811,2026-07-19T18:06:29.577139
702,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10942545,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO,1,13007,2026-07-19T18:06:52.827662
703,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11034286,ANTIOQUIA - EMPRESAS PÚBLICAS DE LA CEJA DEL TAMBO E.S.P.,Medellín,Antioquia,SIN_DOCUMENTO,1,7159,2026-07-19T18:06:56.621004
704,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-199485,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS,1,19774,2026-07-19T18:07:00.727583
705,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20040,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cajicá,Cundinamarca,ESTUDIOS_PREVIOS,1,8444,2026-07-19T18:07:04.512618
721,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6459,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4751,2026-07-19T18:07:46.690520
722,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5511,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS,1,12299,2026-07-19T18:07:50.481698
723,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7846316,ANTIOQUIA - TERMINALES DE TRANSPORTE DE MEDELLÍN S.A.,Medellín,Antioquia,ESTUDIOS_PREVIOS,1,4574,2026-07-19T18:07:54.295834
724,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-187491,ANTIOQUIA - GOBERNACIÓN,Medellín,Antioquia,MATRIZ_RIESGO,1,25548,2026-07-19T18:07:57.601804
725,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-12-13676557,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,ESTUDIOS_PREVIOS,1,9067,2026-07-19T18:08:00.866706
726,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14074,HUILA - ALCALDÍA MUNICIPIO DE ACEVEDO,Acevedo,Huila,ESTUDIOS_PREVIOS,1,9869,2026-07-19T18:08:04.198259
727,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-40580,META - ALCALDÍA MUNICIPIO DE MESETAS,Mesetas,Meta,MATRIZ_RIESGO,1,12877,2026-07-19T18:08:07.478080
730,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8397885,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4741,2026-07-19T18:08:16.278371
743,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-39538,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,MATRIZ_RIESGO,1,10036,2026-07-19T18:08:48.565694
744,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9322651,VALLE DEL CAUCA - EMPRESAS MUNICIPALES DE TULÚA,Tuluá,Valle del Cauca,SIN_DOCUMENTO,1,5557,2026-07-19T18:08:51.715177
745,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-192767,CASANARE - ALCALDÍA MUNICIPIO DE OROCUE,Orocué,Casanare,ESTUDIOS_PREVIOS,1,6673,2026-07-19T18:08:54.872233
746,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10778,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,MATRIZ_RIESGO,1,30033,2026-07-19T18:08:59.937197
747,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-12-13388496,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TOLEDO,Toledo,Norte De Santander,SIN_DOCUMENTO,1,8070,2026-07-19T18:09:03.534289
748,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37589,BOYACÁ - ALCALDÍA MUNICIPIO DE MONGUI,Monguí,Boyacá,MATRIZ_RIESGO,1,12411,2026-07-19T18:09:07.383496
749,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6597,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4833,2026-07-19T18:09:11.013013
756,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10627308,CASANARE - GOBERNACIÓN,Yopal,Casanare,MATRIZ_RIESGO,1,13463,2026-07-19T18:09:29.704949
757,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3973,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4824,2026-07-19T18:09:32.820183
758,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23642,NORTE DE SANTANDER - ÁREA METROPOLITANA DE CÚCUTA,San José de Cúcuta,Norte De Santander,MATRIZ_RIESGO,1,19592,2026-07-19T18:09:36.081630
759,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7222,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CAMPAMENTO,Campamento,Antioquia,ESTUDIOS_PREVIOS,1,6888,2026-07-19T18:09:39.177724
774,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-190669,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS,1,10468,2026-07-19T18:10:21.929404
775,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3970,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,5167,2026-07-19T18:10:25.296160
776,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-198664,HUILA - ALCALDÍA MUNICIPIO DE PITALITO,Pitalito,Huila,ESTUDIOS_PREVIOS,1,16763,2026-07-19T18:10:28.565880
777,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10799838,CALDAS - ALCALDÍA MUNICIPIO DE MARQUETALIA,Marquetalia,Caldas,MATRIZ_RIESGO,1,14973,2026-07-19T18:10:31.795300
