fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento
533,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30641,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,ESTUDIOS_PREVIOS
534,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-195811,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
535,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31927,TOLIMA - ALCALDÍA MUNICIPIO DE PURIFICACIÓN,Purificación,Tolima,ESTUDIOS_PREVIOS
546,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218779,META - ALCALDÍA MUNICIPIO DE LA URIBE,Uribe,Meta,ESTUDIOS_PREVIOS
547,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191428,NARIÑO - ALCALDÍA MUNICIPIO DE LA LLANADA,La Llanada,Nariño,ESTUDIOS_PREVIOS
549,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-11-13650972,META - ALCALDÍA MUNICIPIO DE SAN MARTÍN DE LOS LLANOS,San Martín,Meta,ESTUDIOS_PREVIOS
560,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14739,SANTANDER - UNIDADES TECNOLÓGICAS DE SANTANDER,Bucaramanga,Santander,ESTUDIOS_PREVIOS
585,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10290,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,ESTUDIOS_PREVIOS
586,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186225,BOYACÁ - ALCALDÍA MUNICIPIO DE DUITAMA,Duitama,Boyacá,ESTUDIOS_PREVIOS
588,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-32657,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE EL ROSAL,El Rosal,Cundinamarca,ESTUDIOS_PREVIOS
598,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5873,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
600,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21064,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,ESTUDIOS_PREVIOS
601,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12235138,CUNDINAMARCA - EMSERCOTA S.A. E.S.P. - COTA,Cota,Cundinamarca,ESTUDIOS_PREVIOS
611,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12070843,NORTE DE SANTANDER - EIS CÚCUTA S.A. E.S.P. - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE CÚCUTA,San José de Cúcuta,Norte De Santander,ESTUDIOS_PREVIOS
613,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21609,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUASCA,Guasca,Cundinamarca,ESTUDIOS_PREVIOS
614,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25528,BOYACÁ - ALCALDÍA MUNICIPIO DE TUTA,Tuta,Boyacá,ESTUDIOS_PREVIOS
625,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11952638,ANTIOQUIA - EMPRESA PARA EL DESARROLLO URBANO Y HABITAT DEL MUNICIPIO DE APARTADÓ,Apartadó,Antioquia,ESTUDIOS_PREVIOS
627,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13808,META - ALCALDÍA MUNICIPIO DE ACACIAS,Acacías,Meta,ESTUDIOS_PREVIOS
637,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18704,SANTANDER - UNIDADES TECNOLÓGICAS DE SANTANDER,Bucaramanga,Santander,ESTUDIOS_PREVIOS
638,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-29741,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,ESTUDIOS_PREVIOS
639,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20281,CASANARE - ALCALDÍA MUNICIPIO DE MONTERREY,Monterrey,Casanare,ESTUDIOS_PREVIOS
650,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11005604,SANTANDER - ALCALDÍA MUNICIPIO DE PIEDECUESTA,Piedecuesta,Santander,ESTUDIOS_PREVIOS
651,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8407,CAUCA - ALCALDÍA MUNICIPIO DE MORALES,Morales,Cauca,ESTUDIOS_PREVIOS
653,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10668,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,ESTUDIOS_PREVIOS
663,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9000,SANTANDER - INSTITUTO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
664,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193148,SANTANDER - ALCALDÍA MUNICIPIO DE PUERTO WILCHES,Puerto Wilches,Santander,ESTUDIOS_PREVIOS
665,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12593073,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DE SAN JOSÉ DE LA MARINILLA E.S.P.,Marinilla,Antioquia,ESTUDIOS_PREVIOS
666,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2440,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,ESTUDIOS_PREVIOS
675,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191770,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,ESTUDIOS_PREVIOS
676,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15296,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS
677,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25818,BOYACÁ - ALCALDÍA MUNICIPIO DE GARAGOA,Garagoa,Boyacá,ESTUDIOS_PREVIOS
678,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12132,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
686,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9512,GUAVIARE - ALCALDÍA MUNICIPIO DE SAN JOSÉ DEL GUAVIARE,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS
687,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12795,META - ALCALDÍA MUNICIPIO DE MAPIRIPÁN,Mapiripán,Meta,ESTUDIOS_PREVIOS
698,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28544,VAUPÉS - GOBERNACIÓN,Mitú,Vaupés,ESTUDIOS_PREVIOS
700,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13658,HUILA - GOBERNACIÓN,Neiva,Huila,ESTUDIOS_PREVIOS
708,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-22-28315,CÓRDOBA - AGUAS DE CÓRDOBA S.A. E.S.P.,Montería,Córdoba,ESTUDIOS_PREVIOS
710,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7130,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,ESTUDIOS_PREVIOS
711,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-201812,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
717,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18929,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
719,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211906,CARDIQUE - CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,Cartagena,Bolívar,ESTUDIOS_PREVIOS
728,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11890732,ANTIOQUIA -AQUATERRA EMPRESA DE SERVICIOS PUBLICOS AQUATERRA E.S.P GUARNE,Guarne,Antioquia,ESTUDIOS_PREVIOS
729,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19278,GUAVIARE - ALCALDÍA MUNICIPIO DE EL RETORNO,El Retorno,Guaviare,ESTUDIOS_PREVIOS
731,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10873,BOYACÁ - ALCALDÍA MUNICIPIO DE RAMIRIQUÍ,Ramiriquí,Boyacá,ESTUDIOS_PREVIOS
780,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-29487,SANTANDER - ALCALDÍA MUNICIPIO DE JESÚS MARÍA,Jesús María,Santander,ESTUDIOS_PREVIOS
781,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15761,CÓRDOBA - ALCALDÍA MUNICIPIO DE AYAPEL,Ayapel,Córdoba,ESTUDIOS_PREVIOS
782,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8785,SANTANDER - ÁREA METROPOLITANA DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
783,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21178,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE RICAURTE,Ricaurte,Cundinamarca,ESTUDIOS_PREVIOS
809,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7997541,QUINDÍO - UNIVERSIDAD DEL QUINDÍO,Armenia,Quindío,ESTUDIOS_PREVIOS
810,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15154,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS
835,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17009,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE RICAURTE,Ricaurte,Cundinamarca,ESTUDIOS_PREVIOS
836,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-38857,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE CHITAGÁ,Chitagá,Norte De Santander,ESTUDIOS_PREVIOS
837,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15731,BOYACÁ - ALCALDÍA MUNICIPIO DE PAIPA,Paipa,Boyacá,ESTUDIOS_PREVIOS
838,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15059,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SONSÓN,Sonsón,Antioquia,ESTUDIOS_PREVIOS
863,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20441,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,ESTUDIOS_PREVIOS
864,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23660,META - ALCALDÍA MUNICIPIO DE PUERTO CONCORDIA,Puerto Concordia,Meta,ESTUDIOS_PREVIOS
865,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25401,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CHOCONTÁ,Chocontá,Cundinamarca,ESTUDIOS_PREVIOS
866,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225212,CALDAS - ALCALDÍA MUNICIPIO DE MANZANARES,Manzanares,Caldas,ESTUDIOS_PREVIOS
892,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23079,BOYACÁ - ALCALDÍA MUNICIPIO DE MONIQUIRÁ,Moniquirá,Boyacá,ESTUDIOS_PREVIOS
893,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6630,CAUCA - ALCALDÍA MUNICIPIO DE INZA,Inzá,Cauca,ESTUDIOS_PREVIOS
894,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-206772,SANTANDER - ALCALDÍA MUNICIPIO DE SAN MIGUEL,San Miguel,Santander,ESTUDIOS_PREVIOS
919,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13310,VAUPÉS - GOBERNACIÓN,Mitú,Vaupés,ESTUDIOS_PREVIOS
920,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7435,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,ESTUDIOS_PREVIOS
921,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23617,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,ESTUDIOS_PREVIOS
922,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-7956784,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,ESTUDIOS_PREVIOS
947,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14167,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ITUANGO,Ituango,Antioquia,ESTUDIOS_PREVIOS
949,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22187,SANTANDER - ALCALDÍA MUNICIPIO DE SAN GIL,San Gil,Santander,ESTUDIOS_PREVIOS
975,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28810,NARIÑO - ALCALDÍA MUNICIPIO DE TANGUA,Tangua,Nariño,ESTUDIOS_PREVIOS
976,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3548,INSTITUTO NACIONAL DE SALUD (INS),Bogotá D.C.,Bogotá D.C.,ESTUDIOS_PREVIOS
977,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9012,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CIUDAD BOLÍVAR,Ciudad Bolívar,Antioquia,ESTUDIOS_PREVIOS
978,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30823,BOYACÁ - ALCALDÍA MUNICIPIO DE MONIQUIRÁ,Moniquirá,Boyacá,ESTUDIOS_PREVIOS
1003,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-215276,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE BELTRÁN,Beltrán,Cundinamarca,ESTUDIOS_PREVIOS
1006,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3381,CESAR - ALCALDÍA MUNICIPIO DE SAN MARTÍN,San Martín,Cesar,ESTUDIOS_PREVIOS
1030,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6851,RISARALDA - AEROPUERTO INTERNACIONAL MATECAÑA DE PEREIRA,Pereira,Risaralda,ESTUDIOS_PREVIOS
1031,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20292,ANTIOQUIA - ALCALDÍA MUNICIPIO DE REMEDIOS,Remedios,Antioquia,ESTUDIOS_PREVIOS
1032,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218920,HUILA - ALCALDÍA MUNICIPIO DE OPORAPA,Oporapa,Huila,ESTUDIOS_PREVIOS
1033,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5781,SANTANDER - ALCALDÍA MUNICIPIO DE LOS SANTOS,Los Santos,Santander,ESTUDIOS_PREVIOS
1058,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18382,ANTIOQUIA - ALCALDÍA MUNICIPIO DE TURBO,Turbo,Antioquia,ESTUDIOS_PREVIOS
1086,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-188724,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CHÍA,Chía,Cundinamarca,ESTUDIOS_PREVIOS
1087,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34630,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SAN BERNARDO,San Bernardo,Cundinamarca,ESTUDIOS_PREVIOS
1089,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11584,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
1113,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2806,SANTANDER - ALCALDÍA MUNICIPIO DE LA BELLEZA,La Belleza,Santander,ESTUDIOS_PREVIOS
1114,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14928,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS
1141,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28789,CÓRDOBA - ALCALDÍA MUNICIPIO DE PUEBLO NUEVO,Pueblo Nuevo,Córdoba,ESTUDIOS_PREVIOS
1142,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-226758,SANTANDER - ALCALDÍA MUNICIPIO DE SIMACOTA,Simacota,Santander,ESTUDIOS_PREVIOS
1143,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8601262,ANTIOQUIA - INSTITUTO TECNOLÓGICO METROPOLITANO - MEDELLÍN,Medellín,Antioquia,ESTUDIOS_PREVIOS
1144,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8781,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,ESTUDIOS_PREVIOS
1169,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20432,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE OCAÑA,Ocaña,Norte De Santander,ESTUDIOS_PREVIOS
1170,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-185894,BOYACÁ - ALCALDÍA MUNICIPIO DE PAIPA,Paipa,Boyacá,ESTUDIOS_PREVIOS
1171,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200470,SANTANDER - ALCALDÍA MUNICIPIO DE PUENTE NACIONAL,Puente Nacional,Santander,ESTUDIOS_PREVIOS
1172,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-202789,SANTANDER - ALCALDÍA MUNICIPIO DE PÁRAMO,Páramo,Santander,ESTUDIOS_PREVIOS
1196,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25538,CASANARE - ALCALDÍA MUNICIPIO DE AGUAZUL,Aguazul,Casanare,ESTUDIOS_PREVIOS
1197,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6327,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
1253,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-12-13432617,SANTANDER - ALCALDÍA MUNICIPIO DE EL CARMEN DE CHUCURÍ,El Carmen de Chucurí,Santander,ESTUDIOS_PREVIOS
1254,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-32160,BOYACÁ - ALCALDÍA MUNICIPIO DE MUZO,Muzo,Boyacá,ESTUDIOS_PREVIOS
1255,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8630037,ANTIOQUIA - EMPRESAS PÚBLICAS MUNICIPALES DE SOPETRÁN,Sopetrán,Antioquia,ESTUDIOS_PREVIOS
1280,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20433,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,ESTUDIOS_PREVIOS
1282,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8049021,HUILA - ALCALDÍA MUNICIPIO DE PITALITO,Pitalito,Huila,ESTUDIOS_PREVIOS
1283,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212290,SANTANDER - ALCALDÍA MUNICIPIO DE OCAMONTE,Ocamonte,Santander,ESTUDIOS_PREVIOS
1309,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212095,BOYACÁ - ALCALDÍA MUNICIPIO DE SANTANA,Santana,Boyacá,ESTUDIOS_PREVIOS
1310,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37009,BOYACÁ - ALCALDÍA MUNICIPIO DE GARAGOA,Garagoa,Boyacá,ESTUDIOS_PREVIOS
1335,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-36058,VAUPÉS - ALCALDÍA MUNICIPIO DE MITÚ,Mitú,Vaupés,ESTUDIOS_PREVIOS
1336,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212177,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TENA,Tena,Cundinamarca,ESTUDIOS_PREVIOS
1337,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8229,SUCRE - ALCALDÍA MUNICIPIO DE SINCELEJO,Sincelejo,Sucre,ESTUDIOS_PREVIOS
1338,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22031,BOYACÁ - ALCALDÍA MUNICIPIO DE BETEITIVA,Betéitiva,Boyacá,ESTUDIOS_PREVIOS
1363,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-12-13434111,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,ESTUDIOS_PREVIOS
1364,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-198496,ANTIOQUIA - ALCALDÍA MUNICIPIO DE LA CEJA,La Ceja,Antioquia,ESTUDIOS_PREVIOS
1365,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12632433,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DEL CARMEN DE VIBORAL,El Carmen de Viboral,Antioquia,ESTUDIOS_PREVIOS
1368,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8311712,RISARALDA - ALCALDÍA MUNICIPIO DE PEREIRA,Pereira,Risaralda,ESTUDIOS_PREVIOS
1370,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193014,META - ALCALDÍA MUNICIPIO DE MAPIRIPÁN,Mapiripán,Meta,ESTUDIOS_PREVIOS
1371,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5468,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
1396,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-1960,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,ESTUDIOS_PREVIOS
1398,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186283,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CONCEPCIÓN,Concepción,Antioquia,ESTUDIOS_PREVIOS
1424,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-4-13206828,CALDAS - AGUAS MANANTIALES DE PACORA S.A. E.S.P,Pácora,Caldas,ESTUDIOS_PREVIOS
1425,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21329,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAPARRAPÍ,Caparrapí,Cundinamarca,ESTUDIOS_PREVIOS
1426,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-12901274,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PUERTO SALGAR,Puerto Salgar,Cundinamarca,ESTUDIOS_PREVIOS
