fila,url,entidad,municipio,departamento,tipo
640,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6333,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
641,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2792,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTA ROSA DE OSOS,Santa Rosa de Osos,Antioquia,BLOQUEADA
642,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4551,VALLE DEL CAUCA - GOBERNACIÓN,Cali,Valle del Cauca,BLOQUEADA
643,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-214597,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTUARIO,El Santuario,Antioquia,BLOQUEADA
644,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8522,CHOCÓ - ALCALDÍA MUNICIPIO DE EL CARMEN DE ATRATO,El Carmen de Atrato,Chocó,BLOQUEADA
661,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-194557,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,BLOQUEADA
662,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20468,META - ALCALDÍA MUNICIPIO DE CUMARAL,Cumaral,Meta,BLOQUEADA
663,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9000,SANTANDER - INSTITUTO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE BUCARAMANGA,Bucaramanga,Santander,BLOQUEADA
664,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193148,SANTANDER - ALCALDÍA MUNICIPIO DE PUERTO WILCHES,Puerto Wilches,Santander,BLOQUEADA
665,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12593073,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DE SAN JOSÉ DE LA MARINILLA E.S.P.,Marinilla,Antioquia,BLOQUEADA
666,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2440,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,BLOQUEADA
667,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-192447,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cajicá,Cundinamarca,BLOQUEADA
669,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12851,CAR - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA,Bogotá D.C.,Bogotá D.C.,BLOQUEADA
670,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4544,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
677,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25818,BOYACÁ - ALCALDÍA MUNICIPIO DE GARAGOA,Garagoa,Boyacá,BLOQUEADA
678,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12132,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,BLOQUEADA
688,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9544646,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ENVIGADO,Envigado,Antioquia,BLOQUEADA
689,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-36710,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBANÁ,Tibaná,Boyacá,BLOQUEADA
696,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22113,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,BLOQUEADA
697,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34050,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,BLOQUEADA
698,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28544,VAUPÉS - GOBERNACIÓN,Mitú,Vaupés,BLOQUEADA
699,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7966117,VALLE DEL CAUCA - EMPRESAS PÚBLICAS MUNICIPALES DE CARTAGO,Cartago,Valle del Cauca,BLOQUEADA
700,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13658,HUILA - GOBERNACIÓN,Neiva,Huila,BLOQUEADA
706,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4196,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
707,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21596,CAUCA - ALCALDÍA MUNICIPIO DE MIRANDA,Miranda,Cauca,BLOQUEADA
708,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-22-28315,CÓRDOBA - AGUAS DE CÓRDOBA S.A. E.S.P.,Montería,Córdoba,BLOQUEADA
713,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9625,RISARALDA - ALCALDÍA MUNICIPIO DE GUATICA,Guática,Risaralda,BLOQUEADA
714,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-21000,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE SALAZAR DE LAS PALMAS,Salazar de las Palmas,Norte De Santander,BLOQUEADA
719,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211906,CARDIQUE - CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,Cartagena,Bolívar,BLOQUEADA
731,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10873,BOYACÁ - ALCALDÍA MUNICIPIO DE RAMIRIQUÍ,Ramiriquí,Boyacá,BLOQUEADA
732,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9036,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,BLOQUEADA
733,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-5473,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
734,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15156,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,BLOQUEADA
739,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15315,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,BLOQUEADA
740,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26647,CAQUETÁ - ALCALDÍA MUNICIPIO DE MILÁN,Milán,Caquetá,BLOQUEADA
741,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4662,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,BLOQUEADA
742,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11644376,TOLIMA - EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL S.A. E.S.P.,Ibagué,Tolima,BLOQUEADA
750,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31641,SANTANDER - ALCALDÍA MUNICIPIO DE JESÚS MARÍA,Jesús María,Santander,BLOQUEADA
751,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-1543,INSTITUTO DE CASAS FISCALES DEL EJÉRCITO (ICFE),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
752,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31611,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBANÁ,Tibaná,Boyacá,BLOQUEADA
753,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-10264501,BOGOTÁ D.C. - INSTITUTO DISTRITAL DE GESTIÓN DE RIESGOS Y CAMBIO CLIMÁTICO - IDIGER,Bogotá D.C.,Bogotá D.C.,BLOQUEADA
760,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13849,CAUCA - ALCALDÍA MUNICIPIO DE BOLÍVAR,Bolívar,Cauca,BLOQUEADA
765,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-12002564,VAUPÉS - ALCALDÍA MUNICIPIO DE TARAIRA,Taraira,Vaupés,BLOQUEADA
770,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-12347872,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE OCAÑA,Ocaña,Norte De Santander,BLOQUEADA
781,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15761,CÓRDOBA - ALCALDÍA MUNICIPIO DE AYAPEL,Ayapel,Córdoba,BLOQUEADA
782,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8785,SANTANDER - ÁREA METROPOLITANA DE BUCARAMANGA,Bucaramanga,Santander,BLOQUEADA
783,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21178,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE RICAURTE,Ricaurte,Cundinamarca,BLOQUEADA
784,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31616,NARIÑO - ALCALDÍA MUNICIPIO DE FUNES,Funes,Nariño,BLOQUEADA
785,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8737945,ANTIOQUIA - TERMINALES DE TRANSPORTE DE MEDELLÍN S.A.,Medellín,Antioquia,BLOQUEADA
788,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-11198,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
793,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2898,TOLIMA - ALCALDÍA MUNICIPIO DE MELGAR,Melgar,Tolima,BLOQUEADA
794,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13014,CASANARE - ALCALDÍA MUNICIPIO DE VILLANUEVA,Villanueva,Casanare,BLOQUEADA
795,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9016440,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GRANADA,Granada,Antioquia,BLOQUEADA
