fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento,n_documentos,nombres_pdf
740,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26647,CAQUETÁ - ALCALDÍA MUNICIPIO DE MILÁN,Milán,Caquetá,SIN_DOCUMENTO,0,
741,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4662,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,MATRIZ_RIESGOS,0,
742,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11644376,TOLIMA - EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL S.A. E.S.P.,Ibagué,Tolima,SIN_DOCUMENTO,0,
743,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-39538,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,MATRIZ_RIESGOS,0,
744,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9322651,VALLE DEL CAUCA - EMPRESAS MUNICIPALES DE TULÚA,Tuluá,Valle del Cauca,SIN_DOCUMENTO,0,
745,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-192767,CASANARE - ALCALDÍA MUNICIPIO DE OROCUE,Orocué,Casanare,SIN_DOCUMENTO,0,
746,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10778,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,SIN_DOCUMENTO,0,
747,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-12-13388496,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TOLEDO,Toledo,Norte De Santander,SIN_DOCUMENTO,0,
748,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37589,BOYACÁ - ALCALDÍA MUNICIPIO DE MONGUI,Monguí,Boyacá,SIN_DOCUMENTO,0,
749,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6597,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
750,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31641,SANTANDER - ALCALDÍA MUNICIPIO DE JESÚS MARÍA,Jesús María,Santander,SIN_DOCUMENTO,0,
