fila,url,entidad,municipio,departamento,tipo
1065,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15222,ANTIOQUIA - ALCALDÍA MUNICIPIO DE BARBOSA,Barbosa,Antioquia,MATRIZ
1067,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28560,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,MATRIZ_RIESGO
1084,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9407586,ANTIOQUIA - AGENCIA DE DESARROLLO LOCAL DE ITAGÜÍ - ADELI,Itagüí,Antioquia,MATRIZ_RIESGO
1085,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-32215,CAUCA - ALCALDÍA MUNICIPIO DE TIMBIO,Timbío,Cauca,MATRIZ_RIESGO
1087,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34630,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SAN BERNARDO,San Bernardo,Cundinamarca,MATRIZ_RIESGO
1091,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225297,NARIÑO - ALCALDÍA MUNICIPIO DE ARBOLEDA (BERRUECOS),Arboleda,Nariño,MATRIZ_RIESGO
1103,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-41802,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,MATRIZ_RIESGO
1108,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33565,ANTIOQUIA - ALCALDÍA MUNICIPIO DE TITIRIBÍ,Titiribí,Antioquia,MATRIZ_RIESGO
1109,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24548,META - ALCALDÍA MUNICIPIO DE MESETAS,Mesetas,Meta,MATRIZ
1110,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24686,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE LA ESPERANZA,La Esperanza,Norte De Santander,MATRIZ_RIESGO
1123,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25703,BOYACÁ - ALCALDÍA MUNICIPIO DE ALMEIDA,Almeida,Boyacá,MATRIZ_RIESGO
1124,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212918,SANTANDER - ALCALDÍA MUNICIPIO DE LOS SANTOS,Los Santos,Santander,MATRIZ_RIESGO
1125,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-27367,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE VIANÍ,Vianí,Cundinamarca,MATRIZ_RIESGO
1126,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33400,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,MATRIZ_RIESGO
1142,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-226758,SANTANDER - ALCALDÍA MUNICIPIO DE SIMACOTA,Simacota,Santander,MATRIZ_RIESGO
1145,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-226769,CASANARE - ALCALDÍA MUNICIPIO DE PORE,Pore,Casanare,MATRIZ_RIESGO
1156,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22951,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE LABATECA,Labateca,Norte De Santander,MATRIZ_RIESGO
1158,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22872,NARIÑO - ALCALDÍA MUNICIPIO DE FUNES,Funes,Nariño,MATRIZ_RIESGO
1159,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33427,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PASCA,Pasca,Cundinamarca,MATRIZ_RIESGO
