fila,url,entidad,municipio,departamento,tipo
836,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-38857,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE CHITAGÁ,Chitagá,Norte De Santander,ESTUDIOS_PREVIOS
837,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15731,BOYACÁ - ALCALDÍA MUNICIPIO DE PAIPA,Paipa,Boyacá,ESTUDIOS_PREVIOS
856,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24573,BOYACÁ - ALCALDÍA MUNICIPIO DE PÁEZ,Páez,Boyacá,ESTUDIOS_PREVIOS
857,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23437,BOYACÁ - ALCALDÍA MUNICIPIO DE CAMPOHERMOSO,Campohermoso,Boyacá,ESTUDIOS_PREVIOS
860,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-214391,BOYACÁ - ALCALDÍA MUNICIPIO DE BUENAVISTA,Buenavista,Boyacá,ESTUDIOS_PREVIOS
867,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26855,BOYACÁ - ALCALDÍA MUNICIPIO DE COMBITA,Cómbita,Boyacá,ESTUDIOS_PREVIOS
884,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8973,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE VILLETA,Villeta,Cundinamarca,ESTUDIOS_PREVIOS
885,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15926,BOYACÁ - ALCALDÍA MUNICIPIO DE SAN JOSÉ DE PARE,San José de Pare,Boyacá,ESTUDIOS_PREVIOS
887,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-199995,HUILA - ALCALDÍA MUNICIPIO DE PITALITO,Pitalito,Huila,ESTUDIOS_PREVIOS
908,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31052,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Tibasosa,Boyacá,ESTUDIOS_PREVIOS
923,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-210804,ARAUCA - ALCALDÍA MUNICIPIO DE ARAUQUITA,Arauquita,Arauca,ESTUDIOS_PREVIOS
928,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7262,VICHADA - GOBERNACIÓN,Puerto Carreño,Vichada,ESTUDIOS_PREVIOS
944,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21829,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SOPÓ,Sopó,Cundinamarca,ESTUDIOS_PREVIOS
947,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14167,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ITUANGO,Ituango,Antioquia,ESTUDIOS_PREVIOS
955,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9050,BOYACÁ - ALCALDÍA MUNICIPIO DE JENESANO,Jenesano,Boyacá,ESTUDIOS_PREVIOS
